BINARY is TEMP# ObjectProperty
BINARY is ATO_0000393 Class
BINARY SubClassOf ATO_0000393 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000394 Class
BINARY SubClassOf ATO_0000394 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000395 Class
BINARY SubClassOf ATO_0000395 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000396 Class
BINARY SubClassOf ATO_0000396 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000694 Class
BINARY SubClassOf ATO_0000694 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000695 Class
BINARY SubClassOf ATO_0000695 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000696 Class
BINARY SubClassOf ATO_0000696 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000697 Class
BINARY SubClassOf ATO_0000697 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000698 Class
BINARY SubClassOf ATO_0000698 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000699 Class
BINARY SubClassOf ATO_0000699 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000700 Class
BINARY SubClassOf ATO_0000700 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000701 Class
BINARY SubClassOf ATO_0000701 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000702 Class
BINARY SubClassOf ATO_0000702 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000703 Class
BINARY SubClassOf ATO_0000703 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000704 Class
BINARY SubClassOf ATO_0000704 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000705 Class
BINARY SubClassOf ATO_0000705 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000706 Class
BINARY SubClassOf ATO_0000706 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000707 Class
BINARY SubClassOf ATO_0000707 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000708 Class
BINARY SubClassOf ATO_0000708 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000709 Class
BINARY SubClassOf ATO_0000709 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000710 Class
BINARY SubClassOf ATO_0000710 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000711 Class
BINARY SubClassOf ATO_0000711 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000712 Class
BINARY SubClassOf ATO_0000712 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000713 Class
BINARY SubClassOf ATO_0000713 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000714 Class
BINARY SubClassOf ATO_0000714 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000715 Class
BINARY SubClassOf ATO_0000715 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000716 Class
BINARY SubClassOf ATO_0000716 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000717 Class
BINARY SubClassOf ATO_0000717 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000718 Class
BINARY SubClassOf ATO_0000718 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000719 Class
BINARY SubClassOf ATO_0000719 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000720 Class
BINARY SubClassOf ATO_0000720 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000721 Class
BINARY SubClassOf ATO_0000721 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000722 Class
BINARY SubClassOf ATO_0000722 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000723 Class
BINARY SubClassOf ATO_0000723 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000724 Class
BINARY SubClassOf ATO_0000724 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000725 Class
BINARY SubClassOf ATO_0000725 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000726 Class
BINARY SubClassOf ATO_0000726 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000727 Class
BINARY SubClassOf ATO_0000727 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000728 Class
BINARY SubClassOf ATO_0000728 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000729 Class
BINARY SubClassOf ATO_0000729 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000730 Class
BINARY SubClassOf ATO_0000730 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000731 Class
BINARY SubClassOf ATO_0000731 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000732 Class
BINARY SubClassOf ATO_0000732 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000733 Class
BINARY SubClassOf ATO_0000733 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000734 Class
BINARY SubClassOf ATO_0000734 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000735 Class
BINARY SubClassOf ATO_0000735 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000736 Class
BINARY SubClassOf ATO_0000736 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000737 Class
BINARY SubClassOf ATO_0000737 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000738 Class
BINARY SubClassOf ATO_0000738 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000739 Class
BINARY SubClassOf ATO_0000739 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000740 Class
BINARY SubClassOf ATO_0000740 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000741 Class
BINARY SubClassOf ATO_0000741 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000742 Class
BINARY SubClassOf ATO_0000742 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000743 Class
BINARY SubClassOf ATO_0000743 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000744 Class
BINARY SubClassOf ATO_0000744 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000745 Class
BINARY SubClassOf ATO_0000745 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000746 Class
BINARY SubClassOf ATO_0000746 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000747 Class
BINARY SubClassOf ATO_0000747 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000748 Class
BINARY SubClassOf ATO_0000748 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000749 Class
BINARY SubClassOf ATO_0000749 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000750 Class
BINARY SubClassOf ATO_0000750 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000751 Class
BINARY SubClassOf ATO_0000751 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000752 Class
BINARY SubClassOf ATO_0000752 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000753 Class
BINARY SubClassOf ATO_0000753 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000754 Class
BINARY SubClassOf ATO_0000754 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000755 Class
BINARY SubClassOf ATO_0000755 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000756 Class
BINARY SubClassOf ATO_0000756 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000757 Class
BINARY SubClassOf ATO_0000757 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000758 Class
BINARY SubClassOf ATO_0000758 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000759 Class
BINARY SubClassOf ATO_0000759 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000760 Class
BINARY SubClassOf ATO_0000760 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000761 Class
BINARY SubClassOf ATO_0000761 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000762 Class
BINARY SubClassOf ATO_0000762 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000763 Class
BINARY SubClassOf ATO_0000763 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000764 Class
BINARY SubClassOf ATO_0000764 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000765 Class
BINARY SubClassOf ATO_0000765 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000766 Class
BINARY SubClassOf ATO_0000766 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000767 Class
BINARY SubClassOf ATO_0000767 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000768 Class
BINARY SubClassOf ATO_0000768 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000769 Class
BINARY SubClassOf ATO_0000769 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000770 Class
BINARY SubClassOf ATO_0000770 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000771 Class
BINARY SubClassOf ATO_0000771 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000772 Class
BINARY SubClassOf ATO_0000772 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000773 Class
BINARY SubClassOf ATO_0000773 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000774 Class
BINARY SubClassOf ATO_0000774 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000775 Class
BINARY SubClassOf ATO_0000775 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000776 Class
BINARY SubClassOf ATO_0000776 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000777 Class
BINARY SubClassOf ATO_0000777 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000778 Class
BINARY SubClassOf ATO_0000778 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000779 Class
BINARY SubClassOf ATO_0000779 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000780 Class
BINARY SubClassOf ATO_0000780 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000781 Class
BINARY SubClassOf ATO_0000781 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000782 Class
BINARY SubClassOf ATO_0000782 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000783 Class
BINARY SubClassOf ATO_0000783 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000784 Class
BINARY SubClassOf ATO_0000784 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000785 Class
BINARY SubClassOf ATO_0000785 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000786 Class
BINARY SubClassOf ATO_0000786 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000787 Class
BINARY SubClassOf ATO_0000787 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000788 Class
BINARY SubClassOf ATO_0000788 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000789 Class
BINARY SubClassOf ATO_0000789 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000790 Class
BINARY SubClassOf ATO_0000790 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000791 Class
BINARY SubClassOf ATO_0000791 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000792 Class
BINARY SubClassOf ATO_0000792 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000793 Class
BINARY SubClassOf ATO_0000793 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000794 Class
BINARY SubClassOf ATO_0000794 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000795 Class
BINARY SubClassOf ATO_0000795 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000796 Class
BINARY SubClassOf ATO_0000796 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000797 Class
BINARY SubClassOf ATO_0000797 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000798 Class
BINARY SubClassOf ATO_0000798 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000799 Class
BINARY SubClassOf ATO_0000799 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000800 Class
BINARY SubClassOf ATO_0000800 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000801 Class
BINARY SubClassOf ATO_0000801 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000802 Class
BINARY SubClassOf ATO_0000802 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000803 Class
BINARY SubClassOf ATO_0000803 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000804 Class
BINARY SubClassOf ATO_0000804 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000805 Class
BINARY SubClassOf ATO_0000805 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000806 Class
BINARY SubClassOf ATO_0000806 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000807 Class
BINARY SubClassOf ATO_0000807 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000808 Class
BINARY SubClassOf ATO_0000808 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000809 Class
BINARY SubClassOf ATO_0000809 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000810 Class
BINARY SubClassOf ATO_0000810 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000811 Class
BINARY SubClassOf ATO_0000811 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000812 Class
BINARY SubClassOf ATO_0000812 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000813 Class
BINARY SubClassOf ATO_0000813 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000814 Class
BINARY SubClassOf ATO_0000814 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000815 Class
BINARY SubClassOf ATO_0000815 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000816 Class
BINARY SubClassOf ATO_0000816 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000817 Class
BINARY SubClassOf ATO_0000817 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000818 Class
BINARY SubClassOf ATO_0000818 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000819 Class
BINARY SubClassOf ATO_0000819 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000820 Class
BINARY SubClassOf ATO_0000820 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000821 Class
BINARY SubClassOf ATO_0000821 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000822 Class
BINARY SubClassOf ATO_0000822 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000823 Class
BINARY SubClassOf ATO_0000823 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000824 Class
BINARY SubClassOf ATO_0000824 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000825 Class
BINARY SubClassOf ATO_0000825 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000826 Class
BINARY SubClassOf ATO_0000826 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000827 Class
BINARY SubClassOf ATO_0000827 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000828 Class
BINARY SubClassOf ATO_0000828 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000829 Class
BINARY SubClassOf ATO_0000829 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000830 Class
BINARY SubClassOf ATO_0000830 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000831 Class
BINARY SubClassOf ATO_0000831 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000832 Class
BINARY SubClassOf ATO_0000832 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000833 Class
BINARY SubClassOf ATO_0000833 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000834 Class
BINARY SubClassOf ATO_0000834 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000835 Class
BINARY SubClassOf ATO_0000835 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000836 Class
BINARY SubClassOf ATO_0000836 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000837 Class
BINARY SubClassOf ATO_0000837 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000838 Class
BINARY SubClassOf ATO_0000838 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000839 Class
BINARY SubClassOf ATO_0000839 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000840 Class
BINARY SubClassOf ATO_0000840 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000841 Class
BINARY SubClassOf ATO_0000841 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000842 Class
BINARY SubClassOf ATO_0000842 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000843 Class
BINARY SubClassOf ATO_0000843 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000844 Class
BINARY SubClassOf ATO_0000844 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000845 Class
BINARY SubClassOf ATO_0000845 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000846 Class
BINARY SubClassOf ATO_0000846 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000847 Class
BINARY SubClassOf ATO_0000847 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000848 Class
BINARY SubClassOf ATO_0000848 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000849 Class
BINARY SubClassOf ATO_0000849 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000850 Class
BINARY SubClassOf ATO_0000850 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000851 Class
BINARY SubClassOf ATO_0000851 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000852 Class
BINARY SubClassOf ATO_0000852 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000853 Class
BINARY SubClassOf ATO_0000853 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000854 Class
BINARY SubClassOf ATO_0000854 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000855 Class
BINARY SubClassOf ATO_0000855 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000856 Class
BINARY SubClassOf ATO_0000856 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000857 Class
BINARY SubClassOf ATO_0000857 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000858 Class
BINARY SubClassOf ATO_0000858 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000859 Class
BINARY SubClassOf ATO_0000859 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000860 Class
BINARY SubClassOf ATO_0000860 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000861 Class
BINARY SubClassOf ATO_0000861 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000862 Class
BINARY SubClassOf ATO_0000862 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000863 Class
BINARY SubClassOf ATO_0000863 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
BINARY is ATO_0000864 Class
BINARY SubClassOf ATO_0000864 ATO_0000225,
BINARY is has_rank_some_ATO_0000034 TEMP#
