BINARY Domain porous ManufacturedObjectComponent
BINARY Range porous boolean
BINARY is powdered DataProperty
BINARY Domain powdered MaterialProcessing
BINARY is precoated DataProperty
BINARY Domain precoated ManufacturedObject,
BINARY Domain precoated ManufacturedObjectComponent
BINARY Range precoated boolean
BINARY SubPropertyOf precoated treated
BINARY is preconditioned DataProperty
BINARY Domain preconditioned ManufacturedObject,
BINARY Domain preconditioned ManufacturedObjectComponent
BINARY Range preconditioned boolean
BINARY SubPropertyOf preconditioned treated
BINARY is processed DataProperty
BINARY Domain processed ManufacturedObject,
BINARY Domain processed ManufacturedObjectComponent
BINARY Range processed boolean
BINARY is purified DataProperty
BINARY SubPropertyOf purified processed
BINARY is reinforced DataProperty
BINARY Domain reinforced ManufacturedObject,
BINARY Domain reinforced ManufacturedObjectComponent
BINARY Range reinforced boolean
BINARY SubPropertyOf reinforced treated
BINARY is resorbable DataProperty
BINARY Domain resorbable ManufacturedObject,
BINARY Domain resorbable ManufacturedObjectComponent
BINARY Range resorbable boolean
BINARY SubPropertyOf resorbable degradable
BINARY is roughened DataProperty
BINARY Domain roughened ManufacturedObject,
BINARY Domain roughened ManufacturedObjectComponent
BINARY Range roughened boolean
BINARY SubPropertyOf roughened treated
BINARY is sandblasted DataProperty
BINARY Domain sandblasted ManufacturedObject,
BINARY Domain sandblasted ManufacturedObjectComponent
BINARY Range sandblasted boolean
BINARY SubPropertyOf sandblasted treated
BINARY is seeded DataProperty
BINARY Domain seeded ManufacturedObject,
BINARY Domain seeded ManufacturedObjectComponent
BINARY Range seeded boolean
BINARY SubPropertyOf seeded processed
BINARY is semipermeable DataProperty
BINARY Domain semipermeable PhysicalProperty
BINARY is sintered DataProperty
BINARY Domain sintered ManufacturedObject,
BINARY Domain sintered ManufacturedObjectComponent
BINARY Range sintered boolean
BINARY SubPropertyOf sintered treated
BINARY is spongy DataProperty
BINARY Domain spongy ManufacturedObject,
BINARY Domain spongy ManufacturedObjectComponent
BINARY Range spongy boolean
BINARY is textured DataProperty
BINARY Domain textured PhysicalProperty
BINARY is tissue_derived DataProperty
BINARY Domain tissue_derived ManufacturedObject,
BINARY Domain tissue_derived ManufacturedObjectComponent
BINARY Range tissue_derived boolean
BINARY SubPropertyOf tissue_derived processed
BINARY is toxic DataProperty
BINARY Domain toxic ManufacturedObject,
BINARY Domain toxic ManufacturedObjectComponent
BINARY Range toxic boolean
BINARY SubPropertyOf toxic bioactive
BINARY is transparent DataProperty
BINARY Domain transparent ManufacturedObject,
BINARY Domain transparent ManufacturedObjectComponent
BINARY Range transparent boolean
BINARY is treated DataProperty
BINARY Domain treated ManufacturedObject,
BINARY Domain treated ManufacturedObjectComponent
BINARY Range treated boolean
BINARY is uncoated DataProperty
BINARY Domain uncoated ManufacturedObject,
BINARY Domain uncoated ManufacturedObjectComponent
BINARY Range uncoated boolean
BINARY SubPropertyOf uncoated not_treated
BINARY is unmodified DataProperty
BINARY Domain unmodified ManufacturedObject,
BINARY Domain unmodified ManufacturedObjectComponent
BINARY Range unmodified boolean
BINARY SubPropertyOf unmodified not_treated
BINARY is untreated DataProperty
BINARY Domain untreated ManufacturedObject,
BINARY Domain untreated ManufacturedObjectComponent
BINARY is woven DataProperty
BINARY Domain woven ManufacturedObject,
BINARY Domain woven ManufacturedObjectComponent
BINARY Range woven boolean
BINARY SubPropertyOf woven manufactured
BINARY is 2-Layer Class
BINARY SubClassOf 2-Layer Structure
BINARY is Young'sModulus Class
BINARY SubClassOf Young'sModulus MechanicalProperty
BINARY is AbdominalFasciaClosure Class
BINARY SubClassOf AbdominalFasciaClosure SurgicalProcedure
BINARY is Absorption Class
BINARY SubClassOf Absorption DegradationFeatures,
BINARY SubClassOf Absorption absorbable_value_true
BINARY is Acellularity Class
BINARY SubClassOf Acellularity OtherFeatures,
BINARY SubClassOf Acellularity acellular_value_true
BINARY is Adhesive Class
BINARY SubClassOf Adhesive ManufacturedObject
BINARY is Adipogenesis Class
BINARY SubClassOf Adipogenesis AssociatedBiologicalProcess
