BINARY is float Datatype
BINARY SubClassOf IAO_0000314 BFO_0000050_some_IAO_0000310
BINARY is IAO_0000315 Class
BINARY SubClassOf IAO_0000315 IAO_0000314,
BINARY SubClassOf IAO_0000315 IAO_0000136_some_IAO_0000310
BINARY is IAO_0000316 Class
BINARY SubClassOf IAO_0000316 IAO_0000314,
BINARY SubClassOf IAO_0000316 IAO_0000136_some_IAO_0000005
BINARY is IAO_0000317 Class
BINARY SubClassOf IAO_0000317 IAO_0000314,
BINARY SubClassOf IAO_0000317 IAO_0000136_some_OBI_0500000
BINARY is IAO_0000318 Class
BINARY SubClassOf IAO_0000318 IAO_0000314,
BINARY SubClassOf IAO_0000318 IAO_0000136_some_OBI_0000471
BINARY is IAO_0000319 Class
BINARY SubClassOf IAO_0000319 IAO_0000314
BINARY is IAO_0000320 Class
BINARY SubClassOf IAO_0000320 IAO_0000314,
BINARY SubClassOf IAO_0000320 BFO_0000051_some_IAO_0000301
BINARY is IAO_0000321 Class
BINARY SubClassOf IAO_0000321 IAO_0000314,
BINARY SubClassOf IAO_0000321 BFO_0000051_some_IAO_0000302
BINARY is IAO_0000322 Class
BINARY SubClassOf IAO_0000322 IAO_0000314,
BINARY SubClassOf IAO_0000322 BFO_0000051_some_IAO_0000303
BINARY is IAO_0000323 Class
BINARY SubClassOf IAO_0000323 IAO_0000314
BINARY is IAO_0000324 Class
BINARY SubClassOf IAO_0000324 IAO_0000314
BINARY is IAO_0000325 Class
BINARY SubClassOf IAO_0000325 IAO_0000314,
BINARY SubClassOf IAO_0000325 IAO_0000136_some_IAO_0000314
BINARY is IAO_0000326 Class
BINARY SubClassOf IAO_0000326 IAO_0000314
BINARY is IAO_0000327 Class
BINARY SubClassOf IAO_0000327 IAO_0000306
BINARY is IAO_0000328 Class
BINARY SubClassOf IAO_0000328 IAO_0000306
BINARY is IAO_0000329 Class
BINARY SubClassOf IAO_0000329 IAO_0000305
BINARY is IAO_0000330 Class
BINARY SubClassOf IAO_0000330 IAO_0000314
BINARY is IAO_0000400 Class
BINARY SubClassOf IAO_0000400 IAO_0000027,
BINARY SubClassOf IAO_0000400 IAO_0000219_some_BFO_0000018,
BINARY is Thing IAO_0000407_exactly_1_www.w3.org/2002/07/#
BINARY is IAO_0000401 Class
BINARY SubClassOf IAO_0000401 IAO_0000400
BINARY is IAO_0000402 Class
BINARY SubClassOf IAO_0000402 IAO_0000400
BINARY is IAO_0000403 Class
BINARY SubClassOf IAO_0000403 IAO_0000400
BINARY is IAO_0000409 Class
BINARY SubClassOf IAO_0000409 IAO_0000102
BINARY is IAO_0000415 Class
BINARY SubClassOf IAO_0000415 IAO_0000300
BINARY is IAO_0000422 Class
BINARY SubClassOf IAO_0000422 IAO_0000300,
BINARY SubClassOf IAO_0000422 IAO_0000136_some_GAZ_00000448
BINARY is IAO_0000429 Class
BINARY SubClassOf IAO_0000429 IAO_0000030
BINARY is IAO_0000444 Class
BINARY is IAO_0000445 Class
BINARY SubClassOf IAO_0000445 IAO_0000310
BINARY is IAO_0000577 Class
BINARY SubClassOf IAO_0000577 IAO_0000028,
BINARY SubClassOf IAO_0000577 BFO_0000050_some_IAO_0000578
BINARY is IAO_0000578 Class
BINARY SubClassOf IAO_0000578 IAO_0020000,
BINARY SubClassOf IAO_0000578 BFO_0000051_some_IAO_0000577,
BINARY SubClassOf IAO_0000578 BFO_0000051_some_(IAO_0000219_some_IAO_0000579)
BINARY is IAO_0000579 Class
BINARY SubClassOf IAO_0000579 IAO_0000100
BINARY is IAO_0000582 Class
BINARY SubClassOf IAO_0000582 IAO_0000109
BINARY is IAO_0000584 Class
BINARY SubClassOf IAO_0000584 IAO_0000100
BINARY is IAO_0000590 Class
BINARY SubClassOf IAO_0000590 IAO_0000300
BINARY is IAO_0000605 Class
BINARY SubClassOf IAO_0000605 IAO_0000300
BINARY is IAO_0000606 Class
BINARY SubClassOf IAO_0000606 IAO_0000314,
BINARY SubClassOf IAO_0000606 BFO_0000051_some_IAO_0000605
BINARY is IAO_0000607 Class
BINARY SubClassOf IAO_0000607 IAO_0000314,
BINARY SubClassOf IAO_0000607 BFO_0000051_some_IAO_0000608
BINARY is IAO_0000608 Class
BINARY SubClassOf IAO_0000608 IAO_0000300
BINARY is IAO_0000609 Class
BINARY SubClassOf IAO_0000609 IAO_0000314,
BINARY SubClassOf IAO_0000609 BFO_0000051_some_IAO_0000610
BINARY is IAO_0000610 Class
BINARY SubClassOf IAO_0000610 IAO_0000300
BINARY is IAO_0000611 Class
BINARY SubClassOf IAO_0000611 IAO_0000314,
BINARY SubClassOf IAO_0000611 BFO_0000051_some_IAO_0000612
BINARY is IAO_0000612 Class
BINARY SubClassOf IAO_0000612 IAO_0000300
BINARY is IAO_0000613 Class
BINARY SubClassOf IAO_0000613 IAO_0000314,
BINARY SubClassOf IAO_0000613 BFO_0000051_some_IAO_0000614
BINARY is IAO_0000614 Class
BINARY SubClassOf IAO_0000614 IAO_0000300
BINARY is IAO_0000615 Class
BINARY SubClassOf IAO_0000615 IAO_0000314,
BINARY SubClassOf IAO_0000615 BFO_0000051_some_IAO_0000144
BINARY is IAO_0000616 Class
BINARY SubClassOf IAO_0000616 IAO_0000314,
BINARY SubClassOf IAO_0000616 BFO_0000051_some_IAO_0000617
BINARY is IAO_0000617 Class
BINARY SubClassOf IAO_0000617 IAO_0000300
BINARY is IAO_0000618 Class
BINARY SubClassOf IAO_0000618 IAO_0000314,
BINARY SubClassOf IAO_0000618 BFO_0000051_some_IAO_0000619
BINARY is IAO_0000619 Class
BINARY SubClassOf IAO_0000619 IAO_0000300
BINARY is IAO_0000620 Class
BINARY SubClassOf IAO_0000620 IAO_0000314,
BINARY SubClassOf IAO_0000620 BFO_0000051_some_IAO_0000621
BINARY is IAO_0000621 Class
BINARY SubClassOf IAO_0000621 IAO_0000300,
BINARY SubClassOf IAO_0000621 IAO_0000136_some_OBI_0500000
BINARY is IAO_0000622 Class
BINARY SubClassOf IAO_0000622 IAO_0000314,
BINARY SubClassOf IAO_0000622 BFO_0000051_some_IAO_0000308
BINARY is IAO_0000623 Class
BINARY SubClassOf IAO_0000623 IAO_0000314,
BINARY SubClassOf IAO_0000623 BFO_0000051_some_IAO_0000624
BINARY is IAO_0000624 Class
BINARY SubClassOf IAO_0000624 IAO_0000300
BINARY is IAO_0000625 Class
BINARY SubClassOf IAO_0000625 IAO_0000314,
BINARY SubClassOf IAO_0000625 BFO_0000051_some_IAO_0000626
BINARY is IAO_0000626 Class
BINARY SubClassOf IAO_0000626 IAO_0000300
BINARY is IAO_0000627 Class
BINARY SubClassOf IAO_0000627 IAO_0000314,
BINARY SubClassOf IAO_0000627 BFO_0000051_some_IAO_0000628
BINARY is IAO_0000628 Class
BINARY SubClassOf IAO_0000628 IAO_0000300
BINARY is IAO_0000629 Class
BINARY SubClassOf IAO_0000629 IAO_0000300
BINARY is IAO_0000630 Class
BINARY SubClassOf IAO_0000630 IAO_0000314,
BINARY SubClassOf IAO_0000630 BFO_0000051_some_IAO_0000629
BINARY is IAO_0000631 Class
BINARY SubClassOf IAO_0000631 IAO_0000314,
BINARY SubClassOf IAO_0000631 BFO_0000051_some_IAO_0000632,
BINARY SubClassOf IAO_0000631 IAO_0000136_some_OBI_0500000
BINARY is IAO_0000632 Class
BINARY SubClassOf IAO_0000632 IAO_0000300
BINARY is IAO_0000633 Class
BINARY SubClassOf IAO_0000633 IAO_0000314
BINARY is IAO_0000634 Class
BINARY SubClassOf IAO_0000634 IAO_0000314
BINARY is IAO_0000635 Class
BINARY SubClassOf IAO_0000635 IAO_0000314,
BINARY SubClassOf IAO_0000635 BFO_0000051_some_IAO_0000636
BINARY is IAO_0000636 Class
BINARY SubClassOf IAO_0000636 IAO_0000300
BINARY is IAO_0000637 Class
BINARY SubClassOf IAO_0000637 IAO_0000314,
BINARY SubClassOf IAO_0000637 BFO_0000051_some_IAO_0000638
BINARY is IAO_0000638 Class
BINARY SubClassOf IAO_0000638 IAO_0000300
BINARY is IAO_0000639 Class
BINARY SubClassOf IAO_0000639 IAO_0000314,
BINARY SubClassOf IAO_0000639 BFO_0000051_some_IAO_0000640
BINARY is IAO_0000640 Class
BINARY SubClassOf IAO_0000640 IAO_0000300
BINARY is IAO_0000641 Class
BINARY SubClassOf IAO_0000641 IAO_0000314,
BINARY SubClassOf IAO_0000641 BFO_0000051_some_IAO_0000642
BINARY is IAO_0000642 Class
BINARY SubClassOf IAO_0000642 IAO_0000300
BINARY is IAO_0000643 Class
BINARY SubClassOf IAO_0000643 IAO_0000300
BINARY is IAO_0000644 Class
BINARY SubClassOf IAO_0000644 IAO_0000314,
BINARY SubClassOf IAO_0000644 BFO_0000051_some_IAO_0000643
BINARY is IAO_0000645 Class
BINARY SubClassOf IAO_0000645 IAO_0000314,
BINARY SubClassOf IAO_0000645 BFO_0000051_some_IAO_0000306
BINARY is IAO_0000646 Class
BINARY SubClassOf IAO_0000646 IAO_0020000
BINARY is IAO_0000647 Class
BINARY SubClassOf IAO_0000647 IAO_0000104
BINARY is IAO_0000648 Class
BINARY SubClassOf IAO_0000648 IAO_0000646
BINARY is IAO_0000701 Class
BINARY SubClassOf IAO_0000701 IAO_0000314
BINARY is IAO_0000702 Class
BINARY SubClassOf IAO_0000702 IAO_0000318
BINARY is IAO_0000703 Class
BINARY SubClassOf IAO_0000703 IAO_0000314
BINARY is IAO_0000704 Class
BINARY SubClassOf IAO_0000704 IAO_0000317
BINARY is IAO_0000705 Class
BINARY SubClassOf IAO_0000705 IAO_0000314
BINARY is IAO_0000706 Class
BINARY SubClassOf IAO_0000706 IAO_0000631
BINARY is IAO_0000707 Class
BINARY SubClassOf IAO_0000707 IAO_0000315
BINARY is IAO_0020000 Class
BINARY equiv IAO_0020000 (IAO_0000219_some_BFO_0000001)_and_(OBI_0000312_only_IAO_0020010)
BINARY SubClassOf IAO_0020000 IAO_0000030,
BINARY SubClassOf IAO_0020000 IAO_0000219_some_BFO_0000001
BINARY is IAO_0020001 Class
BINARY SubClassOf IAO_0020001 IAO_0000030
BINARY is IAO_0020002 Class
BINARY SubClassOf IAO_0020002 IAO_0000030
BINARY is IAO_0020010 Class
BINARY is IAO_0020015 Class
BINARY equiv IAO_0020015 IAO_0020000_and_(IAO_0000219_only_NCBITaxon_9606)
BINARY SubClassOf IAO_0020015 IAO_0020000
BINARY is IAO_0020016 Class
BINARY SubClassOf IAO_0020016 IAO_0020015
BINARY is IAO_0020017 Class
BINARY SubClassOf IAO_0020017 IAO_0020015
BINARY is IAO_0020020 Class
BINARY SubClassOf IAO_0020020 IAO_0000310,
BINARY SubClassOf IAO_0020020 BFO_0000051_some_IAO_0020000
BINARY is IAO_0020021 Class
BINARY equiv IAO_0020021 IAO_0000310_and_(IAO_0000136_some_IAO_0020022)_and_(RO_0000058_some
BINARY equiv IAO_0020021 (BFO_0000020_and_(RO_0000052_some_(RO_0000053_some_IAO_0020024))))_and_(RO_0000058_only
BINARY equiv IAO_0020021 (BFO_0000020_and_(RO_0000052_some_(RO_0000053_some_IAO_0020024))))
BINARY SubClassOf IAO_0020021 IAO_0000310,
BINARY SubClassOf IAO_0020021 IAO_0000136_some_IAO_0020022,
BINARY SubClassOf IAO_0020021 RO_0000058_some
BINARY SubClassOf IAO_0020021 (BFO_0000020_and_(RO_0000052_some_(RO_0000053_some_IAO_0020024)))
BINARY is IAO_0020022 Class
BINARY SubClassOf IAO_0020022 IAO_0000030,
BINARY SubClassOf IAO_0020022 (BFO_0000051_some_IAO_0000030)_and_(_inverse_(IAO_0000136)_some_IAO_0020021)_and_(BFO_0000051_only_IAO_0000030)
BINARY is IAO_0020024 Class
BINARY is IAO_0021007 Class
BINARY SubClassOf IAO_0021007 IAO_0000310
BINARY is IAO_8000000 Class
BINARY SubClassOf IAO_8000000 IAO_0000102
BINARY is NCBITaxon_9606 Class
BINARY is NCIT_C53489 Class
BINARY SubClassOf NCIT_C53489 IAO_0020020
BINARY is OBI_0000471 Class
BINARY is OBI_0500000 Class
BINARY SubClassOf OBI_0500000 IAO_0000104
BINARY is OGMS_0000073 Class
BINARY SubClassOf OGMS_0000073 OGMS_0000123
BINARY is OGMS_0000123 Class
BINARY SubClassOf OGMS_0000123 IAO_0000027
BINARY is OMIABIS_0000060 Class
BINARY SubClassOf OMIABIS_0000060 IAO_0000027
BINARY is OMIABIS_0001025 Class
BINARY SubClassOf OMIABIS_0001025 IAO_0000104
BINARY is OMRSE_00000000 Class
BINARY SubClassOf OMRSE_00000000 IAO_0000578
BINARY is OMRSE_00000076 Class
BINARY is OMRSE_00000077 Class
BINARY is OMRSE_00000083 Class
BINARY SubClassOf OMRSE_00000083 OMRSE_00000100
BINARY is OMRSE_00000089 Class
BINARY SubClassOf OMRSE_00000089 IAO_0000310
BINARY is OMRSE_00000090 Class
BINARY SubClassOf OMRSE_00000090 OMRSE_00000089
BINARY is OMRSE_00000098 Class
BINARY equiv OMRSE_00000098 OMRSE_00000132_and_(BFO_0000050_some_IAO_0020022)_and_(BFO_0000051_some_(OBI_0000312_some_OMRSE_00000099))_and_(IAO_0000136_some_NCBITaxon_9606)
BINARY SubClassOf OMRSE_00000098 OMRSE_00000132,
BINARY SubClassOf OMRSE_00000098 BFO_0000051_some_(OBI_0000312_some_OMRSE_00000099)
BINARY is OMRSE_00000099 Class
BINARY is OMRSE_00000100 Class
BINARY equiv OMRSE_00000100 OMRSE_00000132_and_(BFO_0000050_some_IAO_0020022)_and_(BFO_0000051_some_(OBI_0000312_some_OMRSE_00000101))_and_(IAO_0000136_some_NCBITaxon_9606)
BINARY SubClassOf OMRSE_00000100 OMRSE_00000132,
BINARY SubClassOf OMRSE_00000100 BFO_0000051_some_(OBI_0000312_some_OMRSE_00000101)
BINARY is OMRSE_00000101 Class
BINARY is OMRSE_00000132 Class
BINARY is OMRSE_00000133 Class
BINARY equiv OMRSE_00000133 OMRSE_00000132_and_(BFO_0000050_some_IAO_0020022)_and_(BFO_0000051_some_(OBI_0000312_some_OMRSE_00000135))_and_(IAO_0000136_some_NCBITaxon_9606)
BINARY SubClassOf OMRSE_00000133 OMRSE_00000132,
BINARY SubClassOf OMRSE_00000133 BFO_0000051_some_(OBI_0000312_some_OMRSE_00000135)
BINARY is OMRSE_00000135 Class
BINARY is OMRSE_00000138 Class
BINARY SubClassOf OMRSE_00000138 OMRSE_00000133
BINARY is OMRSE_00000141 Class
BINARY SubClassOf OMRSE_00000141 OMRSE_00000133
BINARY is OMRSE_00000142 Class
BINARY equiv OMRSE_00000142 IAO_0000030_and_(IAO_0000136_some_APOLLO_SV_00000532)
BINARY SubClassOf OMRSE_00000142 IAO_0000030,
BINARY SubClassOf OMRSE_00000142 IAO_0000136_some_APOLLO_SV_00000532
BINARY is OMRSE_00000143 Class
BINARY equiv OMRSE_00000143 IAO_0000028_and_(IAO_0000219_some_OMRSE_00000076)
BINARY SubClassOf OMRSE_00000143 IAO_0000028,
BINARY SubClassOf OMRSE_00000143 IAO_0000219_some_OMRSE_00000076
BINARY is OMRSE_00000144 Class
BINARY equiv OMRSE_00000144 IAO_0000028_and_(IAO_0000219_some_PCO_0000020)
BINARY SubClassOf OMRSE_00000144 IAO_0000028,
BINARY SubClassOf OMRSE_00000144 IAO_0000219_some_PCO_0000020
BINARY is OMRSE_00000145 Class
BINARY SubClassOf OMRSE_00000145 OMRSE_00000132
BINARY is OMRSE_00000163 Class
BINARY SubClassOf OMRSE_00000163 IAO_0000030,
BINARY SubClassOf OMRSE_00000163 RO_0000056_some_OMRSE_00000168
BINARY is OMRSE_00000168 Class
BINARY is OMRSE_00000174 Class
BINARY SubClassOf OMRSE_00000174 OMRSE_00000163
BINARY is OMRSE_00000175 Class
BINARY SubClassOf OMRSE_00000175 OMRSE_00000163
BINARY is OMRSE_00000179 Class
BINARY SubClassOf OMRSE_00000179 OMRSE_00000175
BINARY is OMRSE_00000185 Class
BINARY SubClassOf OMRSE_00000185 OMRSE_00000098
BINARY is OMRSE_00000188 Class
BINARY SubClassOf OMRSE_00000188 IAO_0000030
BINARY is OMRSE_00000189 Class
BINARY SubClassOf OMRSE_00000189 IAO_0000030
BINARY is OMRSE_00000190 Class
BINARY SubClassOf OMRSE_00000190 IAO_0000030,
BINARY SubClassOf OMRSE_00000190 RO_0002350_some_OMRSE_00000188
BINARY is OMRSE_00000193 Class
BINARY is OMRSE_00000194 Class
BINARY is OMRSE_00000197 Class
BINARY SubClassOf OMRSE_00000197 IAO_0000030,
BINARY SubClassOf OMRSE_00000197 IAO_0000136_some_OMRSE_00000193,
BINARY SubClassOf OMRSE_00000197 IAO_0000136_some_OMRSE_00000194,
BINARY SubClassOf OMRSE_00000197 IAO_0000136_some
BINARY SubClassOf OMRSE_00000197 (BFO_0000040_and_(RO_0000053_some_OMRSE_00000193))
BINARY is OMRSE_00000202 Class
BINARY is OMRSE_00000203 Class
BINARY SubClassOf OMRSE_00000203 IAO_0000030,
BINARY SubClassOf OMRSE_00000203 IAO_0000030_and_(OBI_0000312_some_OMRSE_00000202)
BINARY is OMRSE_00000204 Class
BINARY is OMRSE_00000205 Class
BINARY SubClassOf OMRSE_00000205 OMRSE_00000204
BINARY is OMRSE_00000206 Class
BINARY SubClassOf OMRSE_00000206 OMRSE_00000205
BINARY is OMRSE_00000209 Class
BINARY SubClassOf OMRSE_00000209 OMRSE_00000204
BINARY is OMRSE_00000210 Class
BINARY SubClassOf OMRSE_00000210 OMRSE_00000209
BINARY is OMRSE_00000211 Class
BINARY SubClassOf OMRSE_00000211 OMRSE_00000209
BINARY is OMRSE_00000212 Class
BINARY SubClassOf OMRSE_00000212 OMRSE_00000209
BINARY is OMRSE_00000213 Class
BINARY SubClassOf OMRSE_00000213 OMRSE_00000204
BINARY is OMRSE_00000214 Class
BINARY SubClassOf OMRSE_00000214 OMRSE_00000213
BINARY is OMRSE_00000220 Class
BINARY SubClassOf OMRSE_00000220 OMRSE_00000204
BINARY is OMRSE_00000221 Class
BINARY SubClassOf OMRSE_00000221 IAO_0000030
BINARY is OMRSE_00000224 Class
BINARY SubClassOf OMRSE_00000224 IAO_0000100
BINARY is OMRSE_00000225 Class
BINARY SubClassOf OMRSE_00000225 IAO_0000100
BINARY is OMRSE_00000226 Class
BINARY SubClassOf OMRSE_00000226 IAO_0000100
BINARY is OMRSE_00000232 Class
BINARY SubClassOf OMRSE_00000232 OMIABIS_0000060
BINARY is OMRSE_00000234 Class
BINARY SubClassOf OMRSE_00000234 IAO_0000027
BINARY is OMRSE_00000500 Class
BINARY equiv OMRSE_00000500 IAO_0000027_and_(IAO_0000136_some
BINARY equiv OMRSE_00000500 (OMRSE_00000077_or_(BFO_0000015_and_(BFO_0000055_some_OMRSE_00000077))))
BINARY SubClassOf OMRSE_00000500 IAO_0000027,
BINARY SubClassOf OMRSE_00000500 IAO_0000136_some
BINARY SubClassOf OMRSE_00000500 (OMRSE_00000077_or_(BFO_0000015_and_(BFO_0000055_some_OMRSE_00000077)))
BINARY is OMRSE_00000501 Class
BINARY SubClassOf OMRSE_00000501 OMRSE_00000506
