BINARY is string Datatype
BINARY is is_magnitude_of_only_www.loria.fr/~coulet/ontology/pato/version1.33/quality.# ((www.loria.fr/~coulet/ontology/pato/version1.33/quality.#
BINARY is has_unit_only_www.loria.fr/~coulet/ontology/unit/version1.9/unit.# www.loria.fr/~coulet/ontology/pato/version1.33/quality.#
BINARY is has_unit_only_www.loria.fr/~coulet/ontology/unit/version1.9/unit.# SOPHARM_06311_only_SOPHARM_62120
BINARY is SOPHARM_15100 Class
BINARY SubClassOf SOPHARM_15100 OBI_338,
BINARY SubClassOf SOPHARM_15100 SOPHARM_15000
BINARY is SOPHARM_20000 Class
BINARY equiv SOPHARM_20000 (SOPHARM_00001_some_SOPHARM_24000)_and_(SOPHARM_02101_some_SOPHARM_23100)
BINARY is Thing www.w3.org/2002/07/#
BINARY is SOPHARM_21000 Class
BINARY SubClassOf SOPHARM_21000 Quality,
BINARY is physical_quality www.loria.fr/~coulet/ontology/pato/version1.33/quality.#
BINARY is SOPHARM_22000 Class
BINARY equiv SOPHARM_22000 (SOPHARM_02110_only_SOPHARM_21000)_and_(SOPHARM_02200_only_SOPHARM_22100)
BINARY is Thing, www.w3.org/2002/07/#
BINARY is Thing, SOPHARM_00000_some_SOPHARM_23100
BINARY is SOPHARM_22100 Class
BINARY SubClassOf SOPHARM_22100 Quality,
BINARY is frequency www.loria.fr/~coulet/ontology/pato/version1.33/quality.#
BINARY is SOPHARM_23000 Class
BINARY SubClassOf SOPHARM_23000 RealizableEntity,
BINARY is Thing, www.w3.org/2002/07/#
BINARY is Thing, (SOPHARM_00000_some_SOPHARM_11000)_or_(SOPHARM_00000_some_SOPHARM_62000),
BINARY is Thing, SOPHARM_05001_some_OBI_343
BINARY is SOPHARM_23100 Class
BINARY equiv SOPHARM_23100 (SOPHARM_02100_only_SOPHARM_20000)_and_(SOPHARM_02310_only_SOPHARM_22000)
BINARY SubClassOf SOPHARM_23100 SOPHARM_23000,
BINARY SubClassOf SOPHARM_23100 (SOPHARM_00000_some_SOPHARM_11100)_or_(SOPHARM_00000_some_SOPHARM_62000)
BINARY is SOPHARM_23200 Class
BINARY SubClassOf SOPHARM_23200 SOPHARM_23000
BINARY is SOPHARM_23300 Class
BINARY SubClassOf SOPHARM_23300 SOPHARM_23000
BINARY is SOPHARM_23310 Class
BINARY SubClassOf SOPHARM_23310 SOPHARM_23300
BINARY is SOPHARM_23320 Class
BINARY SubClassOf SOPHARM_23320 SOPHARM_23300
BINARY is SOPHARM_24000 Class
BINARY SubClassOf SOPHARM_24000 Object,
BINARY is Thing, www.w3.org/2002/07/#
BINARY is Thing, SOPHARM_00000_some_SOPHARM_20000
BINARY is SOPHARM_30000 Class
BINARY is variant, www.loria.fr/~coulet/ontology/snpontology/version1.6/snpontology_full.#
BINARY is Thing, www.w3.org/2002/07/#
BINARY is Thing, SOPHARM_04100_some_SOPHARM_14200
BINARY is SOPHARM_31000 Class
BINARY is sequence_and_(SOPHARM_00000_only_SOPHARM_14200) www.loria.fr/~coulet/ontology/snpontology/version1.6/snpontology_full.#
BINARY is sequence www.loria.fr/~coulet/ontology/snpontology/version1.6/snpontology_full.#
BINARY is SOPHARM_31100 Class
BINARY SubClassOf SOPHARM_31100 SOPHARM_31000
BINARY is SOPHARM_31200 Class
BINARY SubClassOf SOPHARM_31200 SOPHARM_31000
BINARY is SOPHARM_40000 Class
BINARY equiv SOPHARM_40000 (SOPHARM_00001_some_SOPHARM_14000)_and_(SOPHARM_00001_only_SOPHARM_14000)
BINARY is Thing, www.w3.org/2002/07/#
BINARY is Thing, SOPHARM_00000_some_SOPHARM_50000
BINARY is SOPHARM_41000 Class
BINARY SubClassOf SOPHARM_41000 SOPHARM_40000
BINARY is SOPHARM_42000 Class
BINARY SubClassOf SOPHARM_42000 SOPHARM_40000
BINARY is SOPHARM_43000 Class
BINARY SubClassOf SOPHARM_43000 SOPHARM_42000
BINARY is SOPHARM_43100 Class
BINARY SubClassOf SOPHARM_43100 SOPHARM_43000
BINARY is SOPHARM_43200 Class
BINARY SubClassOf SOPHARM_43200 SOPHARM_43000
BINARY is SOPHARM_43300 Class
BINARY SubClassOf SOPHARM_43300 SOPHARM_43000
BINARY is SOPHARM_43400 Class
BINARY SubClassOf SOPHARM_43400 SOPHARM_43000
BINARY is SOPHARM_44000 Class
BINARY SubClassOf SOPHARM_44000 SOPHARM_40000
BINARY is SOPHARM_44100 Class
BINARY SubClassOf SOPHARM_44100 SOPHARM_44000
BINARY is SOPHARM_50000 Class
BINARY is family_member, www.loria.fr/~coulet/ontology/familybond/version0.1/familybond.#
BINARY is Thing www.w3.org/2002/07/#
BINARY is SOPHARM_51000 Class
BINARY equiv SOPHARM_51000 (SOPHARM_50000_and_(SOPHARM_05001_some_OBI_144))_and_((SOPHARM_00000_some_SOPHARM_52300)_or_(SOPHARM_06201_some_SOPHARM_60000))
BINARY SubClassOf SOPHARM_51000 SOPHARM_50000
BINARY is SOPHARM_52000 Class
BINARY equiv SOPHARM_52000 OBI_181_and_(SOPHARM_00001_some_SOPHARM_50000)
BINARY SubClassOf SOPHARM_52000 OBI_181,
BINARY is Thing, www.w3.org/2002/07/#
BINARY is Thing, SOPHARM_00001_only_SOPHARM_50000
BINARY is SOPHARM_52100 Class
BINARY SubClassOf SOPHARM_52100 SOPHARM_52000
BINARY is SOPHARM_52110 Class
BINARY SubClassOf SOPHARM_52110 SOPHARM_52100
BINARY is SOPHARM_52120 Class
BINARY SubClassOf SOPHARM_52120 SOPHARM_52100
BINARY is SOPHARM_52130 Class
BINARY SubClassOf SOPHARM_52130 SOPHARM_52100
BINARY is SOPHARM_52140 Class
BINARY SubClassOf SOPHARM_52140 SOPHARM_52100
BINARY is SOPHARM_52150 Class
BINARY SubClassOf SOPHARM_52150 SOPHARM_52100
BINARY is SOPHARM_52200 Class
BINARY SubClassOf SOPHARM_52200 SOPHARM_52000
BINARY is SOPHARM_52210 Class
BINARY SubClassOf SOPHARM_52210 SOPHARM_52200
BINARY is SOPHARM_52220 Class
BINARY SubClassOf SOPHARM_52220 SOPHARM_52200
BINARY is SOPHARM_52230 Class
BINARY SubClassOf SOPHARM_52230 SOPHARM_52200
BINARY is SOPHARM_52240 Class
BINARY SubClassOf SOPHARM_52240 SOPHARM_52200
BINARY is SOPHARM_52300 Class
BINARY SubClassOf SOPHARM_52300 OBI_264,
BINARY SubClassOf SOPHARM_52300 SOPHARM_52000,
BINARY SubClassOf SOPHARM_52300 SOPHARM_00001_some_SOPHARM_51000
BINARY is SOPHARM_52400 Class
BINARY SubClassOf SOPHARM_52400 SOPHARM_52000
BINARY is SOPHARM_60000 Class
BINARY equiv SOPHARM_60000 ((SOPHARM_06210_only_SOPHARM_52300))_and_(SOPHARM_00001_some_SOPHARM_61000)_and_(SOPHARM_06101_only_SOPHARM_62000)
BINARY SubClassOf SOPHARM_60000 ProcessAggregate,
BINARY is Thing www.w3.org/2002/07/#
BINARY is SOPHARM_61000 Class
BINARY equiv SOPHARM_61000 SOPHARM_01101_some_SOPHARM_10000
BINARY SubClassOf SOPHARM_61000 Process,
BINARY is Thing, www.w3.org/2002/07/#
BINARY is Thing, (SOPHARM_00000_only_SOPHARM_60000)
BINARY is SOPHARM_62000 Class
BINARY SubClassOf SOPHARM_62000 OBI_272,
BINARY is Thing, www.w3.org/2002/07/#
BINARY is Thing, SOPHARM_00001_some_SOPHARM_23000,
BINARY is Thing, SOPHARM_00001_some_SOPHARM_62100,
BINARY is Thing, SOPHARM_06100_only_SOPHARM_60000
BINARY is SOPHARM_62100 Class
BINARY SubClassOf SOPHARM_62100 OBI_70,
BINARY is Thing, www.w3.org/2002/07/#
BINARY is Thing, SOPHARM_00000_some_SOPHARM_62000,
BINARY is Thing, SOPHARM_06310_only_SOPHARM_10000
BINARY is SOPHARM_62110 Class
BINARY SubClassOf SOPHARM_62110 SOPHARM_62100
BINARY is SOPHARM_62120 Class
BINARY SubClassOf SOPHARM_62120 SOPHARM_62100
BINARY is SOPHARM_62121 Class
BINARY SubClassOf SOPHARM_62121 SOPHARM_62120
BINARY is SOPHARM_70000 Class
BINARY equiv SOPHARM_70000 (SOPHARM_00001_some_SOPHARM_15000)_and_(SOPHARM_00001_only_SOPHARM_15000)
BINARY is Thing, www.w3.org/2002/07/#
BINARY is Thing, SOPHARM_00000_some_SOPHARM_50000
BINARY is SOPHARM_80000 Class
BINARY equiv SOPHARM_80000 (SOPHARM_00001_some_SOPHARM_12000)_and_(SOPHARM_00001_only_SOPHARM_12000)
BINARY is Thing, www.w3.org/2002/07/#
BINARY is Thing, SOPHARM_00000_some_SOPHARM_50000
BINARY is SOPHARM_90000 Class
