BINARY is Microscopic_eyewear Class
BINARY SubClassOf Microscopic_eyewear Optical_device
BINARY is Mind_game_with_puzzles Class
BINARY SubClassOf Mind_game_with_puzzles Game_therapy
BINARY is Mindfulness Class
BINARY SubClassOf Mindfulness Behavioral_self-management
BINARY is Minimize_Distractibility Class
BINARY SubClassOf Minimize_Distractibility Recommendation_for_sexual_dysfunctions
BINARY is Minimize_caffeine_and_tobacco Class
BINARY SubClassOf Minimize_caffeine_and_tobacco Minimize_urinary_problems
BINARY is Minimize_fatigue Class
BINARY SubClassOf Minimize_fatigue Recommendation_for_sexual_dysfunctions
BINARY is Minimize_spasticity Class
BINARY SubClassOf Minimize_spasticity Recommendation_for_sexual_dysfunctions
BINARY is Minimize_urinary_problems Class
BINARY SubClassOf Minimize_urinary_problems Recommendation_for_sexual_dysfunctions
BINARY is Minimize_weakness Class
BINARY SubClassOf Minimize_weakness Recommendation_for_sexual_dysfunctions
BINARY is Motorized_scooters Class
BINARY SubClassOf Motorized_scooters Assistive_devices
BINARY is Multidisciplinary_rehabilitation Class
BINARY SubClassOf Multidisciplinary_rehabilitation Rehabilitation
BINARY is Music_therapy Class
BINARY SubClassOf Music_therapy Complementary_treatment
BINARY is Neurectomy Class
BINARY SubClassOf Neurectomy Invasive
BINARY is Neuromuscular_electrical_stimulation Class
BINARY SubClassOf Neuromuscular_electrical_stimulation Stimulation
BINARY is Non-invasive_ventilator Class
BINARY SubClassOf Non-invasive_ventilator Ventilator
BINARY is Non_pharmacological_treatment Class
BINARY SubClassOf Non_pharmacological_treatment treatment_plan
BINARY is None_invasive Class
BINARY SubClassOf None_invasive Surgery
BINARY is Occupational_therapy Class
BINARY SubClassOf Occupational_therapy Rehabilitation
BINARY is Optical_device Class
BINARY SubClassOf Optical_device Assistive_devices
BINARY is Oral_sex Class
BINARY SubClassOf Oral_sex Minimize_weakness
BINARY is Orthotic_devices Class
BINARY SubClassOf Orthotic_devices Assistive_devices
BINARY is Pelvic_floor Class
BINARY SubClassOf Pelvic_floor Exercise
BINARY is Pelvic_floor_rehabilitation Class
BINARY SubClassOf Pelvic_floor_rehabilitation Rehabilitation
BINARY is Penile_prosthesis Class
BINARY SubClassOf Penile_prosthesis Prosthetic_device
BINARY is Percutaneous_Electrical_Nerve_Stimulation Class
BINARY SubClassOf Percutaneous_Electrical_Nerve_Stimulation Stimulation
BINARY is Percutaneous_Endoscopic_Gastrostomy Class
BINARY SubClassOf Percutaneous_Endoscopic_Gastrostomy Procedure
BINARY is Percutaneous_Tibial_Nerve_Stimulation Class
BINARY SubClassOf Percutaneous_Tibial_Nerve_Stimulation Stimulation
BINARY is Persian_Medicine Class
BINARY SubClassOf Persian_Medicine Traditional_medicine
BINARY is Pessary Class
BINARY SubClassOf Pessary Prosthetic_device
BINARY is Physical_therapy Class
BINARY SubClassOf Physical_therapy Rehabilitation
BINARY is Pilates Class
BINARY SubClassOf Pilates Exercise
BINARY is Plan_your_day_around_your_natural_body_rhythms Class
BINARY SubClassOf Plan_your_day_around_your_natural_body_rhythms Recommendation_for_fatigue_problems
BINARY is Plates_and_cups_with_lips Class
BINARY SubClassOf Plates_and_cups_with_lips Assistive_devices
BINARY is Posting_notes_on_the_refrigerator Class
BINARY SubClassOf Posting_notes_on_the_refrigerator Memory_aids
BINARY is Practice_focusing_on_one_thing_at_a_time Class
BINARY SubClassOf Practice_focusing_on_one_thing_at_a_time Recommendation_for_cognitive_problems
BINARY is Prayer_therapy Class
BINARY SubClassOf Prayer_therapy Complementary_treatment
BINARY is Procedure Class
BINARY SubClassOf Procedure Non_pharmacological_treatment
BINARY is Progressive__Resistance_Training Class
BINARY SubClassOf Progressive__Resistance_Training Exercise
BINARY is Prosthetic_device Class
BINARY SubClassOf Prosthetic_device Non_pharmacological_treatment
BINARY is Psychotherapy Class
BINARY SubClassOf Psychotherapy Non_pharmacological_treatment
BINARY is Pulmonary Class
BINARY SubClassOf Pulmonary Rehabilitation
BINARY is Queen_Square_Stimulator Class
BINARY SubClassOf Queen_Square_Stimulator Stimulation
BINARY is Reading_comprehension_strategies Class
BINARY SubClassOf Reading_comprehension_strategies Recommendation_for_cognitive_problems
BINARY is Recommendation_for_Bowel_disturbance Class
BINARY SubClassOf Recommendation_for_Bowel_disturbance Recommendations
BINARY is Recommendation_for_Urinary_problems Class
BINARY SubClassOf Recommendation_for_Urinary_problems Recommendations
BINARY is Recommendation_for_Vision_problems Class
BINARY SubClassOf Recommendation_for_Vision_problems Recommendations
BINARY is Recommendation_for_cognitive_problems Class
BINARY SubClassOf Recommendation_for_cognitive_problems Recommendations
BINARY is Recommendation_for_dysarthria Class
BINARY SubClassOf Recommendation_for_dysarthria Recommendations
BINARY is Recommendation_for_dysphagia Class
BINARY SubClassOf Recommendation_for_dysphagia Recommendations
BINARY is Recommendation_for_fatigue_problems Class
BINARY SubClassOf Recommendation_for_fatigue_problems Recommendations
BINARY is Recommendation_for_sexual_dysfunctions Class
BINARY SubClassOf Recommendation_for_sexual_dysfunctions Recommendations
BINARY is Recommendation_for_spasticity Class
BINARY SubClassOf Recommendation_for_spasticity Recommendations
BINARY is Recommendation_for_swallowing_problems Class
BINARY SubClassOf Recommendation_for_swallowing_problems Recommendations
BINARY is Recommendations Class
BINARY SubClassOf Recommendations treatment_plan
BINARY is Reduction_of_background_noise Class
BINARY SubClassOf Reduction_of_background_noise Recommendation_for_dysarthria
BINARY is Refer_to Class
BINARY SubClassOf Refer_to Non_pharmacological_treatment
BINARY is Rehabilitation Class
BINARY SubClassOf Rehabilitation Non_pharmacological_treatment
BINARY is Renal_function Class
BINARY SubClassOf Renal_function Lab_monitoring
BINARY is Repetitive_Transcranial_Magnetic_Stimulation Class
BINARY SubClassOf Repetitive_Transcranial_Magnetic_Stimulation Stimulation
BINARY is Repetitive_magnetic_stimulation Class
BINARY SubClassOf Repetitive_magnetic_stimulation Stimulation
BINARY is Resistance_training Class
BINARY SubClassOf Resistance_training Exercise
BINARY is Resting_or_cooling_down_the_eye Class
BINARY SubClassOf Resting_or_cooling_down_the_eye Recommendation_for_Vision_problems
BINARY is Restricting_fluid_intake_for_an_hour_or_two_before_sex Class
BINARY SubClassOf Restricting_fluid_intake_for_an_hour_or_two_before_sex Minimize_urinary_problems
BINARY is Rhizotomy Class
BINARY SubClassOf Rhizotomy Invasive
BINARY is Sacral_Neuromodulation Class
BINARY SubClassOf Sacral_Neuromodulation Stimulation
BINARY is Scooter Class
BINARY SubClassOf Scooter Assistive_devices
BINARY is Self-Catheterization Class
BINARY SubClassOf Self-Catheterization Self_managment
BINARY is Self-management Class
BINARY SubClassOf Self-management Recommendations
BINARY is Self_managment Class
